date,walcl_bn_usd,rrp_bn_usd,tga_bn_usd,rpo_bn_usd,net_liq_bn_usd,ecb_bs_bn_eur,boj_bs_bn_jpy,ecb_bs_bn_usd,boj_bs_bn_usd,netliq_plus_cb_usd_bn,netliq_plus_rpo_bn
2026-09-16,6746.55,5.38,877.03,0.00,5864.14,5911.24,644662.00,6820.39,4156.96,16841.49,5864.15
2026-09-23,6747.70,0.46,977.08,0.00,5770.16,5898.48,644662.00,6762.01,4109.53,16641.70,5770.16
